50	 & 	2	 & 	3	 & 	33	 & 	1	 & 	2075	 & 	2975	 & 	16	 & 	17	 & 	7200.0	 & 	57.0	 & 	62.0	 & 	8.00	 & 	87.5	 & 	80.8	 & 	6497.7	 & 	0	 & 	390.0	 & 	2109.0	 & 	0.0	 & 	335.0	 & 	2834.0	 & 	52.9	 & 	1422.1	 & 	53.0	 & 	65.0	 & 	18.46	 & 	
50	 & 	2	 & 	9	 & 	11	 & 	1	 & 	1525	 & 	2725	 & 	14	 & 	15	 & 	7200.0	 & 	44.0	 & 	47.0	 & 	6.38	 & 	56.7	 & 	34.7	 & 	347.2	 & 	2	 & 	389.0	 & 	3198.0	 & 	0.0	 & 	585.0	 & 	4172.0	 & 	67.4	 & 	347.2	 & 	44.0	 & 	47.0	 & 	6.38	 & 	
55	 & 	2	 & 	3	 & 	36	 & 	1	 & 	2548	 & 	3695	 & 	14	 & 	14	 & 	7200.0	 & 	58.6	 & 	64.0	 & 	8.39	 & 	36.2	 & 	31.8	 & 	2131.2	 & 	0	 & 	435.0	 & 	1913.0	 & 	0.0	 & 	171.0	 & 	2519.0	 & 	24.9	 & 	2083.8	 & 	56.0	 & 	65.0	 & 	13.85	 & 	
55	 & 	2	 & 	6	 & 	18	 & 	1	 & 	2044	 & 	3527	 & 	16	 & 	16	 & 	7200.0	 & 	48.0	 & 	57.0	 & 	15.79	 & 	0.0	 & 	0.0	 & 	28.6	 & 	0	 & 	609.0	 & 	1827.0	 & 	0.0	 & 	0.0	 & 	2436.0	 & 	11.5	 & 	0.0	 & 	0.0	 & 	0.0	 & 	0.00	 & 	
55	 & 	2	 & 	9	 & 	12	 & 	1	 & 	1876	 & 	3387	 & 	15	 & 	15	 & 	7200.0	 & 	46.0	 & 	49.0	 & 	6.12	 & 	50.3	 & 	23.5	 & 	197.0	 & 	1	 & 	548.0	 & 	1754.0	 & 	0.0	 & 	223.0	 & 	2525.0	 & 	41.9	 & 	567.8	 & 	46.0	 & 	49.0	 & 	6.12	 & 	
60	 & 	2	 & 	3	 & 	40	 & 	1	 & 	3000	 & 	4170	 & 	19	 & 	20	 & 	7200.0	 & 	65.1	 & 	73.0	 & 	10.84	 & 	4.3	 & 	3.5	 & 	7022.7	 & 	0	 & 	548.0	 & 	2812.0	 & 	0.0	 & 	135.0	 & 	3495.0	 & 	43.6	 & 	5673.5	 & 	63.8	 & 	76.0	 & 	16.03	 & 	
60	 & 	2	 & 	6	 & 	20	 & 	1	 & 	2400	 & 	4080	 & 	18	 & 	19	 & 	7200.0	 & 	56.0	 & 	67.0	 & 	16.42	 & 	0.0	 & 	0.0	 & 	16.8	 & 	0	 & 	744.0	 & 	1511.0	 & 	0.0	 & 	0.0	 & 	2255.0	 & 	13.4	 & 	0.0	 & 	0.0	 & 	0.0	 & 	0.00	 & 	
60	 & 	2	 & 	9	 & 	13	 & 	1	 & 	2190	 & 	3960	 & 	16	 & 	18	 & 	7200.0	 & 	52.0	 & 	57.0	 & 	8.77	 & 	13.1	 & 	9.9	 & 	6530.7	 & 	0	 & 	558.0	 & 	2600.0	 & 	0.0	 & 	148.0	 & 	3306.0	 & 	33.2	 & 	4922.5	 & 	52.0	 & 	61.0	 & 	14.75	 & 	
35	 & 	2	 & 	6	 & 	11	 & 	2	 & 	828	 & 	1439	 & 	10	 & 	10	 & 	173.0	 & 	33.0	 & 	33.0	 & 	0.00	 & 	7.0	 & 	0.0	 & 	70.2	 & 	5	 & 	247.0	 & 	818.0	 & 	0.0	 & 	73.0	 & 	1138.0	 & 	4.3	 & 	70.2	 & 	30.0	 & 	33.0	 & 	9.09	 & 	
30	 & 	2	 & 	6	 & 	10	 & 	2	 & 	600	 & 	1035	 & 	10	 & 	10	 & 	1398.6	 & 	29.0	 & 	29.0	 & 	0.00	 & 	78.7	 & 	0.0	 & 	0.8	 & 	3	 & 	165.0	 & 	454.0	 & 	0.0	 & 	47.0	 & 	666.0	 & 	3.1	 & 	1.6	 & 	28.0	 & 	29.0	 & 	3.45	 & 	
