60	 & 	5	 & 	9	 & 	13	 & 	1460	 & 	2680	 & 	6.8	 & 	7.0	 & 	7200.0	 & 	26.0	 & 	34.0	 & 	23.36	 & 	10.5	 & 	9.2	 & 	3326.4	 & 	0.2	 & 	789.00	 & 	24.6	 & 	39.0	 & 	36.35	 & 	218.4	 & 	205.7
55	 & 	8	 & 	3	 & 	36	 & 	1001	 & 	1480	 & 	4.2	 & 	4.8	 & 	5919.5	 & 	42.6	 & 	45.2	 & 	5.76	 & 	150.5	 & 	93.2	 & 	2723.0	 & 	0.6	 & 	28.94	 & 	36.3	 & 	49.2	 & 	26.04	 & 	0.0	 & 	42.3
50	 & 	8	 & 	6	 & 	16	 & 	660	 & 	1164	 & 	4.0	 & 	4.0	 & 	7200.0	 & 	23.9	 & 	28.2	 & 	15.20	 & 	45.1	 & 	33.6	 & 	175.5	 & 	2.4	 & 	3.35	 & 	17.7	 & 	30.0	 & 	40.82	 & 	15.4	 & 	88.0
50	 & 	8	 & 	9	 & 	11	 & 	610	 & 	1136	 & 	4.4	 & 	4.4	 & 	7200.0	 & 	19.3	 & 	22.2	 & 	13.28	 & 	489.9	 & 	275.4	 & 	3166.5	 & 	3.0	 & 	2.54	 & 	14.4	 & 	31.2	 & 	52.46	 & 	36.2	 & 	15.2
55	 & 	8	 & 	6	 & 	18	 & 	803	 & 	1399	 & 	4.6	 & 	4.6	 & 	7200.0	 & 	25.2	 & 	32.6	 & 	22.65	 & 	12.9	 & 	9.9	 & 	5235.2	 & 	0.8	 & 	16.84	 & 	19.8	 & 	35.0	 & 	43.49	 & 	14.0	 & 	162.6
55	 & 	8	 & 	9	 & 	12	 & 	737	 & 	1372	 & 	4.4	 & 	4.4	 & 	7200.0	 & 	20.2	 & 	24.4	 & 	16.97	 & 	56.0	 & 	42.3	 & 	311.6	 & 	1.6	 & 	3.74	 & 	15.2	 & 	33.4	 & 	53.15	 & 	37.8	 & 	63.2
60	 & 	8	 & 	3	 & 	40	 & 	1200	 & 	1759	 & 	4.6	 & 	5.0	 & 	7200.0	 & 	45.5	 & 	50.4	 & 	9.74	 & 	51.0	 & 	44.0	 & 	6780.2	 & 	0.2	 & 	35.62	 & 	40.1	 & 	56.0	 & 	28.37	 & 	2.2	 & 	96.7
60	 & 	8	 & 	6	 & 	20	 & 	960	 & 	1663	 & 	4.8	 & 	4.8	 & 	7200.0	 & 	26.9	 & 	36.6	 & 	26.45	 & 	7.2	 & 	5.8	 & 	1770.3	 & 	0.4	 & 	39.61	 & 	21.4	 & 	38.2	 & 	43.96	 & 	5.2	 & 	240.7
60	 & 	8	 & 	9	 & 	13	 & 	876	 & 	1624	 & 	4.8	 & 	4.8	 & 	7200.0	 & 	21.8	 & 	28.0	 & 	22.28	 & 	14.5	 & 	12.2	 & 	2538.5	 & 	0.6	 & 	14.72	 & 	17.2	 & 	32.0	 & 	45.22	 & 	53.0	 & 	126.7
30	 & 	2	 & 	9	 & 	6	 & 	540	 & 	1005	 & 	8.8	 & 	9.0	 & 	142.1	 & 	26.0	 & 	26.0	 & 	0.00	 & 	20.2	 & 	0.0	 & 	2.0	 & 	18.0	 & 	0.30	 & 	20.0	 & 	21.2	 & 	4.51	 & 	125.4	 & 	0.8
30	 & 	2	 & 	3	 & 	20	 & 	750	 & 	1104	 & 	8.8	 & 	9.6	 & 	1369.7	 & 	35.0	 & 	35.0	 & 	0.00	 & 	216.1	 & 	0.0	 & 	16.7	 & 	0.0	 & 	35.55	 & 	31.8	 & 	35.2	 & 	9.59	 & 	142.4	 & 	3.8
30	 & 	2	 & 	6	 & 	10	 & 	600	 & 	1038	 & 	9.6	 & 	9.6	 & 	4613.6	 & 	28.3	 & 	29.6	 & 	4.17	 & 	569.8	 & 	250.4	 & 	1.7	 & 	4.8	 & 	32.04	 & 	27.2	 & 	29.6	 & 	8.04	 & 	156.4	 & 	7.6
35	 & 	2	 & 	3	 & 	23	 & 	1044	 & 	1525	 & 	11.4	 & 	11.6	 & 	5331.9	 & 	40.3	 & 	41.2	 & 	2.19	 & 	347.4	 & 	104.0	 & 	31.1	 & 	0.0	 & 	150.04	 & 	36.6	 & 	41.4	 & 	11.60	 & 	219.0	 & 	6.8
35	 & 	2	 & 	6	 & 	11	 & 	828	 & 	1439	 & 	11.0	 & 	11.0	 & 	7200.0	 & 	31.6	 & 	33.6	 & 	5.88	 & 	465.4	 & 	274.0	 & 	7.7	 & 	1.8	 & 	49.29	 & 	31.0	 & 	33.6	 & 	7.69	 & 	219.6	 & 	15.8
35	 & 	2	 & 	9	 & 	7	 & 	756	 & 	1395	 & 	11.0	 & 	11.0	 & 	5190.6	 & 	30.4	 & 	31.6	 & 	3.85	 & 	418.8	 & 	223.8	 & 	3.4	 & 	21.6	 & 	4.85	 & 	29.8	 & 	31.8	 & 	6.29	 & 	178.0	 & 	10.4
40	 & 	2	 & 	3	 & 	26	 & 	1320	 & 	1904	 & 	11.2	 & 	12.6	 & 	6500.7	 & 	44.9	 & 	47.8	 & 	6.08	 & 	318.3	 & 	223.9	 & 	368.4	 & 	0.0	 & 	425.96	 & 	40.1	 & 	48.8	 & 	17.76	 & 	243.6	 & 	11.2
40	 & 	2	 & 	6	 & 	13	 & 	1060	 & 	1836	 & 	11.4	 & 	11.6	 & 	7200.0	 & 	35.0	 & 	38.8	 & 	9.68	 & 	217.0	 & 	180.6	 & 	157.4	 & 	2.6	 & 	765.83	 & 	34.0	 & 	38.8	 & 	12.41	 & 	301.8	 & 	21.2
40	 & 	2	 & 	9	 & 	8	 & 	960	 & 	1780	 & 	11.0	 & 	11.0	 & 	7200.0	 & 	33.3	 & 	35.0	 & 	4.80	 & 	291.5	 & 	124.4	 & 	6.1	 & 	31.6	 & 	3.61	 & 	33.2	 & 	35.2	 & 	5.65	 & 	231.2	 & 	12.4
45	 & 	2	 & 	3	 & 	30	 & 	1725	 & 	2460	 & 	12.4	 & 	14.0	 & 	7200.0	 & 	48.6	 & 	52.8	 & 	7.91	 & 	160.4	 & 	131.5	 & 	1734.7	 & 	0.0	 & 	1619.99	 & 	45.2	 & 	54.0	 & 	16.30	 & 	354.2	 & 	16.8
30	 & 	5	 & 	9	 & 	6	 & 	360	 & 	678	 & 	3.8	 & 	3.8	 & 	2.7	 & 	13.4	 & 	13.4	 & 	0.00	 & 	1.0	 & 	0.0	 & 	0.7	 & 	2.2	 & 	0.27	 & 	11.6	 & 	14.4	 & 	19.19	 & 	44.2	 & 	0.0
30	 & 	5	 & 	3	 & 	20	 & 	500	 & 	742	 & 	4.2	 & 	4.2	 & 	23.7	 & 	26.8	 & 	26.8	 & 	0.00	 & 	2.9	 & 	0.0	 & 	5.7	 & 	1.2	 & 	3.28	 & 	21.4	 & 	28.4	 & 	24.74	 & 	7.6	 & 	1.1
35	 & 	5	 & 	9	 & 	7	 & 	504	 & 	947	 & 	4.8	 & 	4.8	 & 	39.1	 & 	16.8	 & 	16.8	 & 	0.00	 & 	9.6	 & 	0.0	 & 	7.0	 & 	3.8	 & 	0.54	 & 	14.6	 & 	17.4	 & 	15.98	 & 	75.0	 & 	0.2
30	 & 	5	 & 	6	 & 	10	 & 	400	 & 	702	 & 	4.0	 & 	4.0	 & 	160.4	 & 	18.6	 & 	18.6	 & 	0.00	 & 	21.3	 & 	0.0	 & 	7.6	 & 	2.2	 & 	2.75	 & 	13.4	 & 	19.8	 & 	31.70	 & 	34.0	 & 	2.1
35	 & 	5	 & 	3	 & 	23	 & 	696	 & 	1035	 & 	4.6	 & 	4.6	 & 	749.7	 & 	31.0	 & 	31.0	 & 	0.01	 & 	33.0	 & 	0.0	 & 	228.9	 & 	0.6	 & 	9.46	 & 	24.5	 & 	34.2	 & 	28.24	 & 	9.8	 & 	7.1
45	 & 	2	 & 	6	 & 	15	 & 	1380	 & 	2354	 & 	13.4	 & 	13.6	 & 	7200.0	 & 	40.3	 & 	44.8	 & 	10.03	 & 	117.4	 & 	102.0	 & 	2793.0	 & 	1.2	 & 	1824.83	 & 	39.8	 & 	45.8	 & 	13.05	 & 	381.6	 & 	38.3
45	 & 	2	 & 	9	 & 	10	 & 	1265	 & 	2303	 & 	14.2	 & 	14.4	 & 	7200.0	 & 	39.4	 & 	42.0	 & 	6.24	 & 	169.5	 & 	121.7	 & 	329.4	 & 	8.8	 & 	55.90	 & 	39.2	 & 	42.8	 & 	8.43	 & 	294.4	 & 	40.5
35	 & 	5	 & 	6	 & 	11	 & 	552	 & 	968	 & 	4.6	 & 	4.6	 & 	3105.2	 & 	20.6	 & 	21.8	 & 	5.24	 & 	150.0	 & 	82.1	 & 	168.1	 & 	2.8	 & 	4.38	 & 	15.4	 & 	23.2	 & 	33.28	 & 	54.2	 & 	10.0
40	 & 	5	 & 	3	 & 	26	 & 	924	 & 	1400	 & 	4.4	 & 	4.8	 & 	3234.8	 & 	35.4	 & 	36.0	 & 	1.72	 & 	179.6	 & 	63.4	 & 	1106.7	 & 	0.4	 & 	15.52	 & 	28.1	 & 	39.6	 & 	28.68	 & 	9.6	 & 	5.7
40	 & 	5	 & 	9	 & 	8	 & 	672	 & 	1246	 & 	5.0	 & 	5.2	 & 	4153.5	 & 	18.6	 & 	19.4	 & 	4.27	 & 	495.9	 & 	162.1	 & 	13.9	 & 	4.2	 & 	3.85	 & 	16.2	 & 	19.8	 & 	17.87	 & 	100.6	 & 	2.9
50	 & 	2	 & 	3	 & 	33	 & 	2075	 & 	3030	 & 	14.2	 & 	14.4	 & 	7200.0	 & 	54.4	 & 	59.8	 & 	8.97	 & 	117.0	 & 	107.1	 & 	3154.3	 & 	0.0	 & 	1317.79	 & 	50.9	 & 	61.2	 & 	16.80	 & 	388.2	 & 	26.8
40	 & 	5	 & 	6	 & 	13	 & 	742	 & 	1297	 & 	5.2	 & 	5.2	 & 	6054.3	 & 	24.3	 & 	25.4	 & 	4.47	 & 	96.6	 & 	22.8	 & 	175.3	 & 	0.8	 & 	20.15	 & 	18.9	 & 	27.4	 & 	30.99	 & 	80.8	 & 	29.2
60	 & 	2	 & 	6	 & 	20	 & 	2400	 & 	4116	 & 	17.8	 & 	18.0	 & 	7200.0	 & 	55.0	 & 	79.4	 & 	27.18	 & 	0.0	 & 	0.0	 & 	722.0	 & 	0.0	 & 	0.00	 & 	0.0	 & 	0.0	 & 	0.00	 & 	669.6	 & 	12.2
